Name,Team_from,League_from,Team_to,Summer,Transfer_fee,Comb
Stephan Lichtsteiner,Lazio,Serie A,Juventus,2011,9.93,Stephan Lichtsteiner2011
Wilson Palacios,Spurs,Premier League,Stoke City,2011,9.0,Wilson Palacios2011
Cristián Zapata,Udinese Calcio,Serie A,Villarreal CF,2011,9.0,Cristián Zapata2011
Sébastien Frey,Fiorentina,Serie A,Genoa,2011,9.0,Sébastien Frey2011
Roman Pavlyuchenko,Spurs,Premier League,Loko Moscow,2011,9.0,Roman Pavlyuchenko2011
Blerim Dzemaili,Parma,Serie A,SSC Napoli,2011,9.0,Blerim Dzemaili2011
Miguel Britos,Bologna,Serie A,SSC Napoli,2011,9.0,Miguel Britos2011
Elias,Atlético Madrid,LaLiga,Sporting CP,2011,8.85,Elias2011
Emiliano Viviano,Inter,Serie A,US Palermo,2011,8.5,Emiliano Viviano2011
Dries Mertens,FC Utrecht,Eredivisie,PSV Eindhoven,2011,8.5,Dries Mertens2011
Gary Cahill,Bolton,Premier League,Chelsea,2011,8.4,Gary Cahill2011
Alberto Gilardino,Fiorentina,Serie A,Genoa,2011,8.0,Alberto Gilardino2011
Jérémy Ménez,AS Roma,Serie A,Paris SG,2011,8.0,Jérémy Ménez2011
Víctor Ruiz,SSC Napoli,Serie A,Valencia CF,2011,8.0,Víctor Ruiz2011
José Enrique,Newcastle,Premier League,Liverpool,2011,8.0,José Enrique2011
Mohamed Sissoko,Juventus,Serie A,Paris SG,2011,8.0,Mohamed Sissoko2011
Jonathan de Guzmán,RCD Mallorca,LaLiga,Villarreal CF,2011,8.0,Jonathan de Guzmán2011
Matías Silvestre,Catania,Serie A,US Palermo,2011,8.0,Matías Silvestre2011
Gaël Clichy,Arsenal,Premier League,Man City,2011,7.75,Gaël Clichy2011
Fabio Borini,Parma,Serie A,AS Roma,2011,7.6,Fabio Borini2011
Kevin-Prince Boateng,Genoa,Serie A,AC Milan,2011,7.5,Kevin-Prince Boateng2011
Simone Pepe,Udinese Calcio,Serie A,Juventus,2011,7.5,Simone Pepe2011
Ander Herrera,Real Zaragoza,LaLiga,Athletic Bilbao,2011,7.5,Ander Herrera2011
Felipe Caicedo,Levante UD,LaLiga,Loko Moscow,2011,7.5,Felipe Caicedo2011
Maarten Stekelenburg,AFC Ajax,Eredivisie,AS Roma,2011,7.33,Maarten Stekelenburg2011
Emanuele Giaccherini,RC Cesena,Serie A,Juventus,2011,7.25,Emanuele Giaccherini2011
Kévin Constant,Chievo Verona,Serie A,Genoa,2011,7.0,Kévin Constant2011
Tim Matavz,FC Groningen,Eredivisie,PSV Eindhoven,2011,7.0,Tim Matavz2011
Fernando Muslera,Lazio,Serie A,Galatasaray,2011,6.75,Fernando Muslera2011
Diniyar Bilyaletdinov,Everton,Premier League,Spartak Moscow,2011,6.7,Diniyar Bilyaletdinov2011
Alexander Merkel,AC Milan,Serie A,Genoa,2011,6.5,Alexander Merkel2011
Borja Valero,West Brom,Premier League,Villarreal CF,2011,6.0,Borja Valero2011
Dani Parejo,Getafe CF,LaLiga,Valencia CF,2011,6.0,Dani Parejo2011
Nacho Monreal,CA Osasuna,LaLiga,Málaga CF,2011,6.0,Nacho Monreal2011
Demy de Zeeuw,AFC Ajax,Eredivisie,Spartak Moscow,2011,6.0,Demy de Zeeuw2011
Nikola Kalinic,Blackburn,Premier League,Dnipro,2011,6.0,Nikola Kalinic2011
Bobby Zamora,Fulham,Premier League,QPR,2011,5.8,Bobby Zamora2011
Davide Santon,Inter,Serie A,Newcastle,2011,5.65,Davide Santon2011
Ezequiel Garay,Real Madrid,LaLiga,Benfica,2011,5.5,Ezequiel Garay2011
Rafinha,Genoa,Serie A,Bayern Munich ,2011,5.5,Rafinha2011
Leroy Fer,Feyenoord,Eredivisie,FC Twente,2011,5.5,Leroy Fer2011
Édgar Barreto,Atalanta,Serie A,US Palermo,2011,5.3,Édgar Barreto2011
Federico Marchetti,Cagliari Calcio,Serie A,Lazio,2011,5.2,Federico Marchetti2011
Ricky van Wolfswinkel,FC Utrecht,Eredivisie,Sporting CP,2011,5.08,Ricky van Wolfswinkel2011
Alex,Chelsea,Premier League,Paris SG,2011,5.0,Alex2011
Didier Zokora,Sevilla FC,LaLiga,Trabzonspor,2011,5.0,Didier Zokora2011
Diego Forlán,Atlético Madrid,LaLiga,Inter,2011,5.0,Diego Forlán2011
José Callejón,Espanyol,LaLiga,Real Madrid,2011,5.0,José Callejón2011
Georginio Wijnaldum,Feyenoord,Eredivisie,PSV Eindhoven,2011,5.0,Georginio Wijnaldum2011
Djibril Cissé,Lazio,Serie A,QPR,2011,5.0,Djibril Cissé2011
Ikechukwu Uche,Real Zaragoza,LaLiga,Villarreal CF,2011,5.0,Ikechukwu Uche2011
Ahmed Musa,VVV-Venlo,Eredivisie,CSKA Moscow,2011,5.0,Ahmed Musa2011
Simone Padoin,Atalanta,Serie A,Juventus,2011,5.0,Simone Padoin2011
Nemanja Matic,Chelsea,Premier League,Benfica,2011,5.0,Nemanja Matic2011
Derek Boateng,Getafe CF,LaLiga,Dnipro,2011,4.88,Derek Boateng2011
Nedum Onuoha,Man City,Premier League,QPR,2011,4.7,Nedum Onuoha2011
Yuto Nagatomo,RC Cesena,Serie A,Inter,2011,4.5,Yuto Nagatomo2011
Shaun Wright-Phillips,Man City,Premier League,QPR,2011,4.5,Shaun Wright-Phillips2011
Alan Hutton,Spurs,Premier League,Aston Villa,2011,4.5,Alan Hutton2011
Achille Emaná,Real Betis,LaLiga,Hilal,2011,4.5,Achille Emaná2011
John O'Shea,Man Utd,Premier League,Sunderland,2011,4.5,John O'Shea2011
Andrea Lazzari,Cagliari Calcio,Serie A,Fiorentina,2011,4.5,Andrea Lazzari2011
Manu del Moral,Getafe CF,LaLiga,Sevilla FC,2011,4.5,Manu del Moral2011
David N'Gog,Liverpool,Premier League,Bolton,2011,4.5,David N'Gog2011
Kevin Strootman,FC Utrecht,Eredivisie,PSV Eindhoven,2011,4.5,Kevin Strootman2011
Nacer Barazite,Austria Vienna,Bundesliga,Monaco,2011,4.5,Nacer Barazite2011
José Ángel,Sporting Gijón,LaLiga,AS Roma,2011,4.5,José Ángel2011
Ali Al-Habsi,Bolton,Premier League,Wigan,2011,4.3,Ali Al-Habsi2011
Joaquín,Valencia CF,LaLiga,Málaga CF,2011,4.2,Joaquín2011
Emiliano Viviano,Bologna,Serie A,Inter,2011,4.1,Emiliano Viviano2011
Abdoulay Konko,Genoa,Serie A,Lazio,2011,4.0,Abdoulay Konko2011
Sokratis,AC Milan,Serie A,Genoa,2011,4.0,Sokratis2011
Kolbeinn Sigthórsson,AZ Alkmaar,Eredivisie,AFC Ajax,2011,4.0,Kolbeinn Sigthórsson2011
Marco Rossi,Parma,Serie A,RC Cesena,2011,4.0,Marco Rossi2011
Salvatore Sirigu,US Palermo,Serie A,Paris SG,2011,3.9,Salvatore Sirigu2011
Robbie Keane,Spurs,Premier League,Los Angeles,2011,3.75,Robbie Keane2011
Shay Given,Man City,Premier League,Aston Villa,2011,3.75,Shay Given2011
Jeffren,FC Barcelona,LaLiga,Sporting CP,2011,3.75,Jeffren2011
Jamie O'Hara,Spurs,Premier League,Wolves,2011,3.75,Jamie O'Hara2011
Marco Motta,Udinese Calcio,Serie A,Juventus,2011,3.75,Marco Motta2011
José Antonio Reyes,Atlético Madrid,LaLiga,Sevilla FC,2011,3.5,José Antonio Reyes2011
Diego Capel,Sevilla FC,LaLiga,Sporting CP,2011,3.5,Diego Capel2011
Maxwell,FC Barcelona,LaLiga,Paris SG,2011,3.5,Maxwell2011
Emmanuel Eboué,Arsenal,Premier League,Galatasaray,2011,3.5,Emmanuel Eboué2011
Thiago Silva,AC Milan,Serie A,Paris SG,2012,42.0,Thiago Silva2012
Javi Martínez,Athletic Bilbao,LaLiga,Bayern Munich ,2012,40.0,Javi Martínez2012
Robin van Persie,Arsenal,Premier League,Man Utd,2012,30.7,Robin van Persie2012
Luka Modric,Spurs,Premier League,Real Madrid,2012,30.0,Luka Modric2012
Ezequiel Lavezzi,SSC Napoli,Serie A,Paris SG,2012,28.95,Ezequiel Lavezzi2012
