Name,Team_from,League_from,Team_to,Season,Transfer_fee
Jaap Stam,Lazio,Serie A,AC Milan,2004-2005,10.5
Fabio Cannavaro,Inter,Serie A,Juventus,2004-2005,10.0
Javier Chevantón,Lecce,Serie A,Monaco,2004-2005,10.0
Emile Heskey,Liverpool,Premier League,Birmingham,2004-2005,9.32
Fernando Morientes,Real Madrid,LaLiga,Liverpool,2004-2005,9.25
James Beattie,Southampton,Premier League,Everton,2004-2005,9.0
Luis García,FC Barcelona,LaLiga,Liverpool,2004-2005,8.75
Goran Pandev,Inter,Serie A,Lazio,2004-2005,8.0
Mateja Kezman,PSV Eindhoven,Eredivisie,Chelsea,2004-2005,7.5
Hélder Postiga,Spurs,Premier League,FC Porto,2004-2005,7.5
Barry Ferguson,Blackburn,Premier League,Rangers,2004-2005,7.25
Simone Perrotta,Chievo Verona,Serie A,AS Roma,2004-2005,7.2
Fabrizio Miccoli,Juventus,Serie A,Fiorentina,2004-2005,7.0
Matteo Ferrari,Parma,Serie A,AS Roma,2004-2005,7.0
Giampaolo Pazzini,Atalanta,Serie A,Fiorentina,2004-2005,6.5
Giorgio Chiellini,AS Livorno,Serie A,Fiorentina,2004-2005,6.5
Juliano Belletti,Villarreal CF,LaLiga,FC Barcelona,2004-2005,6.0
Ricardo Quaresma,FC Barcelona,LaLiga,FC Porto,2004-2005,6.0
Francisco Lima,AS Roma,Serie A,Loko Moscow,2004-2005,5.7
Dario Dainelli,Brescia,Serie A,Fiorentina,2004-2005,5.5
Sean Davis,Fulham,Premier League,Spurs,2004-2005,5.2
Fabricio Coloccini,AC Milan,Serie A,Dep. La Coruña,2004-2005,5.0
Mohamed Kallon,Inter,Serie A,Monaco,2004-2005,5.0
Simone Barone,Parma,Serie A,US Palermo,2004-2005,5.0
Robbie Savage,Birmingham,Premier League,Blackburn,2004-2005,4.5
Robin van Persie,Feyenoord,Eredivisie,Arsenal,2004-2005,4.5
