Name,Team_from,League_from,Team_to,Season,Transfer_fee
Daniel Sturridge,Chelsea,Premier League,Liverpool,2012-2013,15.0
Jack Rodwell,Everton,Premier League,Man City,2012-2013,15.0
Samir Handanovic,Udinese Calcio,Serie A,Inter,2012-2013,15.0
Jordi Alba,Valencia CF,LaLiga,FC Barcelona,2012-2013,14.0
Carlos Vela,Arsenal,Premier League,Real Sociedad,2012-2013,14.0
Mauricio Isla,Udinese Calcio,Serie A,Juventus,2012-2013,13.9
Fabio Borini,AS Roma,Serie A,Liverpool,2012-2013,13.3
Rafael van der Vaart,Spurs,Premier League,Hamburger SV,2012-2013,13.0
Philippe Coutinho,Inter,Serie A,Liverpool,2012-2013,13.0
Adam Johnson,Man City,Premier League,Sunderland,2012-2013,12.6
Jan Vertonghen,AFC Ajax,Eredivisie,Spurs,2012-2013,12.5
Giampaolo Pazzini,Inter,Serie A,AC Milan,2012-2013,12.5
Luuk de Jong,FC Twente,Eredivisie,Bor. M'gladbach,2012-2013,12.0
Marco Verratti,Pescara,Serie A,Paris SG,2012-2013,12.0
Ola John,FC Twente,Eredivisie,Benfica,2012-2013,12.0
Victor Moses,Wigan,Premier League,Chelsea,2012-2013,11.5
Sebastian Giovinco,Parma,Serie A,Juventus,2012-2013,11.0
Eduardo Salvio,Atlético Madrid,LaLiga,Benfica,2012-2013,11.0
Manolo Gabbiadini,Atalanta,Serie A,Juventus,2012-2013,11.0
Rodrigo Palacio,Genoa,Serie A,Inter,2012-2013,10.5
Raúl Meireles,Chelsea,Premier League,Fenerbahce,2012-2013,10.0
Nacho Monreal,Málaga CF,LaLiga,Arsenal,2012-2013,10.0
José Salomón Rondón,Málaga CF,LaLiga,Rubin Kazan,2012-2013,9.0
Demba Ba,Newcastle,Premier League,Chelsea,2012-2013,8.5
Vurnon Anita,AFC Ajax,Eredivisie,Newcastle,2012-2013,8.5
Martín Cáceres,Sevilla FC,LaLiga,Juventus,2012-2013,8.0
Álvaro Domínguez,Atlético Madrid,LaLiga,Bor. M'gladbach,2012-2013,8.0
Valon Behrami,Fiorentina,Serie A,SSC Napoli,2012-2013,8.0
Esteban Granero,Real Madrid,LaLiga,QPR,2012-2013,8.0
Kévin Constant,Genoa,Serie A,AC Milan,2012-2013,8.0
Davide Faraoni,Inter,Serie A,Udinese Calcio,2012-2013,8.0
Scott Sinclair,Swansea,Premier League,Man City,2012-2013,7.8
Wesley Sneijder,Inter,Serie A,Galatasaray,2012-2013,7.5
Clint Dempsey,Fulham,Premier League,Spurs,2012-2013,7.5
Asamoah Gyan,Sunderland,Premier League,Al-Ain FC,2012-2013,7.5
Goran Pandev,Inter,Serie A,SSC Napoli,2012-2013,7.5
Miguel Veloso,Genoa,Serie A,Dynamo Kyiv,2012-2013,7.5
Sergio Canales,Real Madrid,LaLiga,Valencia CF,2012-2013,7.5
Nick Powell,Crewe Alexandra,League One,Man Utd,2012-2013,7.5
Milos Krasic,Juventus,Serie A,Fenerbahce,2012-2013,7.0
Mattia Destro,Siena,Serie A,Genoa,2012-2013,7.0
Pablo Hernández,Valencia CF,LaLiga,Swansea,2012-2013,7.0
Bas Dost,Heerenveen,Eredivisie,VfL Wolfsburg,2012-2013,7.0
Niko Kranjcar,Spurs,Premier League,Dynamo Kyiv,2012-2013,7.0
Vedran Corluka,Spurs,Premier League,Loko Moscow,2012-2013,7.0
Alessio Cerci,Fiorentina,Serie A,Torino,2012-2013,6.75
Luís Neto,Siena,Serie A,Zenit S-Pb,2012-2013,6.5
Alberto Paloschi,AC Milan,Serie A,Chievo Verona,2012-2013,6.5
Emmanuel Adebayor,Man City,Premier League,Spurs,2012-2013,6.4
Charlie Adam,Liverpool,Premier League,Stoke City,2012-2013,6.2
Gregory van der Wiel,AFC Ajax,Eredivisie,Paris SG,2012-2013,6.0
Rasmus Elm,AZ Alkmaar,Eredivisie,CSKA Moscow,2012-2013,6.0
Iván Ramis,RCD Mallorca,LaLiga,Wigan,2012-2013,6.0
Luc Castaignos,Inter,Serie A,FC Twente,2012-2013,6.0
Danny Graham,Swansea,Premier League,Sunderland,2012-2013,5.8
Steven Pienaar,Spurs,Premier League,Everton,2012-2013,5.75
Dusan Tadic,FC Groningen,Eredivisie,FC Twente,2012-2013,5.5
Eljero Elia,Juventus,Serie A,Werder Bremen,2012-2013,5.5
Ezequiel Schelotto,Atalanta,Serie A,Inter,2012-2013,5.3
Marko Livaja,Inter,Serie A,Atalanta,2012-2013,5.05
Dimitar Berbatov,Man Utd,Premier League,Fulham,2012-2013,5.0
Antonio Cassano,AC Milan,Serie A,Inter,2012-2013,5.0
Lassana Diarra,Real Madrid,LaLiga,Anzhi,2012-2013,5.0
Germán Denis,Udinese Calcio,Serie A,Atalanta,2012-2013,5.0
Alexander Büttner,Vitesse,Eredivisie,Man Utd,2012-2013,5.0
Federico Balzaretti,US Palermo,Serie A,AS Roma,2012-2013,4.5
Jonathan Biabiany,Sampdoria,Serie A,Parma,2012-2013,4.5
Mehmet Topal,Valencia CF,LaLiga,Fenerbahce,2012-2013,4.5
Nenad Tomovic,Genoa,Serie A,Fiorentina,2012-2013,4.2
Luciano Narsingh,Heerenveen,Eredivisie,PSV Eindhoven,2012-2013,4.1
Oussama Assaidi,Heerenveen,Eredivisie,Liverpool,2012-2013,4.0
Ciro Immobile,Juventus,Serie A,Genoa,2012-2013,4.0
Niklas Moisander,AZ Alkmaar,Eredivisie,AFC Ajax,2012-2013,4.0
Richmond Boakye,Genoa,Serie A,Juventus,2012-2013,4.0
Francesco Acerbi,Chievo Verona,Serie A,AC Milan,2012-2013,4.0
Francesco Acerbi,AC Milan,Serie A,Genoa,2012-2013,4.0
David Abraham,Getafe CF,LaLiga,TSG Hoffenheim,2012-2013,4.0
Ibrahima Baldé,CA Osasuna,LaLiga,Kuban Krasnodar,2012-2013,4.0
Gabriel Silva,Granada CF,LaLiga,Udinese Calcio,2012-2013,4.0
Arouna Koné,Levante UD,LaLiga,Wigan,2012-2013,3.8
Ron Vlaar,Feyenoord,Eredivisie,Aston Villa,2012-2013,3.8
Leon Best,Newcastle,Premier League,Blackburn,2012-2013,3.8
Maicon,Inter,Serie A,Man City,2012-2013,3.75
Michael Bradley,Chievo Verona,Serie A,AS Roma,2012-2013,3.75
Matthew Lowton,Sheffield Utd.,League One,Aston Villa,2012-2013,3.75
Andrea Rossi,Siena,Serie A,Parma,2012-2013,3.6
Barreto,Udinese Calcio,Serie A,Torino,2012-2013,3.55
Nigel de Jong,Man City,Premier League,AC Milan,2012-2013,3.5
Sokratis,Genoa,Serie A,Werder Bremen,2012-2013,3.5
Fernando Gago,Real Madrid,LaLiga,Valencia CF,2012-2013,3.5
Hamit Altintop,Real Madrid,LaLiga,Galatasaray,2012-2013,3.5
Mattia Cassani,US Palermo,Serie A,Fiorentina,2012-2013,3.5
Gareth Bale,Spurs,Premier League,Real Madrid,2013-2014,101.0
Edinson Cavani,SSC Napoli,Serie A,Paris SG,2013-2014,64.5
Mesut Özil,Real Madrid,LaLiga,Arsenal,2013-2014,47.0
Juan Mata,Chelsea,Premier League,Man Utd,2013-2014,44.73
Falcao,Atlético Madrid,LaLiga,Monaco,2013-2014,43.0
Gonzalo Higuaín,Real Madrid,LaLiga,SSC Napoli,2013-2014,39.0
Marouane Fellaini,Everton,Premier League,Man Utd,2013-2014,32.4
Asier Illarramendi,Real Sociedad,LaLiga,Real Madrid,2013-2014,32.0
Marquinhos,AS Roma,Serie A,Paris SG,2013-2014,31.4
Roberto Soldado,Valencia CF,LaLiga,Spurs,2013-2014,30.0
Isco,Málaga CF,LaLiga,Real Madrid,2013-2014,30.0
Érik Lamela,AS Roma,Serie A,Spurs,2013-2014,30.0
Stevan Jovetic,Fiorentina,Serie A,Man City,2013-2014,26.0
Thiago,FC Barcelona,LaLiga,Bayern Munich ,2013-2014,25.0
Álvaro Negredo,Sevilla FC,LaLiga,Man City,2013-2014,25.0
Yohan Cabaye,Newcastle,Premier League,Paris SG,2013-2014,25.0
Kevin De Bruyne,Chelsea,Premier League,VfL Wolfsburg,2013-2014,22.0
Jesús Navas,Sevilla FC,LaLiga,Man City,2013-2014,20.0
Juan Cuadrado,Udinese Calcio,Serie A,Fiorentina,2013-2014,20.0
Geoffrey Kondogbia,Sevilla FC,LaLiga,Monaco,2013-2014,20.0
Hernanes,Lazio,Serie A,Inter,2013-2014,18.0
Kevin Strootman,PSV Eindhoven,Eredivisie,AS Roma,2013-2014,17.5
Andy Carroll,Liverpool,Premier League,West Ham,2013-2014,17.5
Wilfried Bony,Vitesse,Eredivisie,Swansea,2013-2014,16.0
Daniel Osvaldo,AS Roma,Serie A,Southampton,2013-2014,15.1
Angelo Ogbonna,Torino,Serie A,Juventus,2013-2014,15.0
Pizzi,Atlético Madrid,LaLiga,Benfica,2013-2014,14.0
Christian Eriksen,AFC Ajax,Eredivisie,Spurs,2013-2014,13.5
Medhi Benatia,Udinese Calcio,Serie A,AS Roma,2013-2014,13.5
Mauro Icardi,Sampdoria,Serie A,Inter,2013-2014,13.0
Gary Medel,Sevilla FC,LaLiga,Cardiff,2013-2014,13.0
Bojan Krkic,AS Roma,Serie A,FC Barcelona,2013-2014,13.0
Adem Ljajic,Fiorentina,Serie A,AS Roma,2013-2014,12.0
Raúl Albiol,Real Madrid,LaLiga,SSC Napoli,2013-2014,12.0
Manolo Gabbiadini,Juventus,Serie A,Sampdoria,2013-2014,11.5
Alessandro Matri,Juventus,Serie A,AC Milan,2013-2014,11.0
Iago Aspas,Celta de Vigo,LaLiga,Liverpool,2013-2014,10.8
Simon Mignolet,Sunderland,Premier League,Liverpool,2013-2014,10.6
Kevin-Prince Boateng,AC Milan,Serie A,FC Schalke 04,2013-2014,10.0
Jozy Altidore,AZ Alkmaar,Eredivisie,Sunderland,2013-2014,10.0
Simone Zaza,Juventus,Serie A,Sassuolo,2013-2014,10.0
Andrea Poli,Sampdoria,Serie A,AC Milan,2013-2014,9.7
José Callejón,Real Madrid,LaLiga,SSC Napoli,2013-2014,9.5
Jorginho,Hellas Verona,Serie A,SSC Napoli,2013-2014,9.5
Dries Mertens,PSV Eindhoven,Eredivisie,SSC Napoli,2013-2014,9.48
Marco van Ginkel,Vitesse,Eredivisie,Chelsea,2013-2014,9.4
Steven Caulker,Spurs,Premier League,Cardiff,2013-2014,9.15
Carlos Tévez,Man City,Premier League,Juventus,2013-2014,9.0
Jeremain Lens,PSV Eindhoven,Eredivisie,Dynamo Kyiv,2013-2014,9.0
Abdelaziz Barrada,Getafe CF,LaLiga,Al-Jazira,2013-2014,8.5
Shane Long,West Brom,Premier League,Hull City,2013-2014,8.5
Antonio Candreva,Udinese Calcio,Serie A,Lazio,2013-2014,8.2
Nacer Chadli,FC Twente,Eredivisie,Spurs,2013-2014,8.15
Beñat Etxebarria,Real Betis,LaLiga,Athletic Bilbao,2013-2014,8.0
Gervinho,Arsenal,Premier League,AS Roma,2013-2014,8.0
Adam Maher,AZ Alkmaar,Eredivisie,PSV Eindhoven,2013-2014,8.0
Filip Djuricic,Heerenveen,Eredivisie,Benfica,2013-2014,8.0
Luis Alberto,Sevilla FC,LaLiga,Liverpool,2013-2014,8.0
Nikica Jelavic,Everton,Premier League,Hull City,2013-2014,7.8
Alessandro Diamanti,Bologna,Serie A,GZ Evergrande,2013-2014,7.5
Emanuele Giaccherini,Juventus,Serie A,Sunderland,2013-2014,7.5
Saphir Taider,Bologna,Serie A,Inter,2013-2014,7.5
Michael Bradley,AS Roma,Serie A,Toronto FC,2013-2014,7.4
Jermain Defoe,Spurs,Premier League,Toronto FC,2013-2014,7.3
Papu Gómez,Catania,Serie A,Metalist,2013-2014,7.0
Toby Alderweireld,AFC Ajax,Eredivisie,Atlético Madrid,2013-2014,7.0
Stéphane Sessègnon,Sunderland,Premier League,West Brom,2013-2014,7.0
Leo Baptistão,Rayo Vallecano,LaLiga,Atlético Madrid,2013-2014,7.0
Clint Dempsey,Spurs,Premier League,Sounders FC	,2013-2014,6.8
Tino Costa,Valencia CF,LaLiga,Spartak Moscow,2013-2014,6.5
Libor Kozak,Lazio,Serie A,Aston Villa,2013-2014,6.5
Cristián Zapata,Villarreal CF,LaLiga,AC Milan,2013-2014,6.0
Mubarak Wakaso,Espanyol,LaLiga,Rubin Kazan,2013-2014,6.0
Vicente Iborra,Levante UD,LaLiga,Sevilla FC,2013-2014,6.0
Pedro León,Real Madrid,LaLiga,Getafe CF,2013-2014,6.0
Jonjo Shelvey,Liverpool,Premier League,Swansea,2013-2014,5.9
Victor Anichebe,Everton,Premier League,West Brom,2013-2014,5.9
Stewart Downing,Liverpool,Premier League,West Ham,2013-2014,5.8
Tom Huddlestone,Spurs,Premier League,Hull City,2013-2014,5.8
Ishak Belfodil,Parma,Serie A,Inter,2013-2014,5.75
Maarten Stekelenburg,AS Roma,Serie A,Fulham,2013-2014,5.6
Leroy Fer,FC Twente,Eredivisie,Norwich,2013-2014,5.5
Dwight Gayle,Peterborough,League One,Crystal Palace,2013-2014,5.3
Jérémy Toulalan,Málaga CF,LaLiga,Monaco,2013-2014,5.0
Andreas Granqvist,Genoa,Serie A,Krasnodar,2013-2014,5.0
Martín Demichelis,Atlético Madrid,LaLiga,Man City,2013-2014,5.0
Raman Chibsah,Parma,Serie A,Sassuolo,2013-2014,5.0
Dorlan Pabón,Parma,Serie A,Monterrey,2013-2014,4.83
Federico Peluso,Atalanta,Serie A,Juventus,2013-2014,4.8
Mattia Destro,Genoa,Serie A,AS Roma,2013-2014,4.5
Scott Parker,Spurs,Premier League,Fulham,2013-2014,4.5
Domenico Berardi,Sassuolo,Serie A,Juventus,2013-2014,4.5
Luca Marrone,Juventus,Serie A,Sassuolo,2013-2014,4.5
Luca Cigarini,SSC Napoli,Serie A,Atalanta,2013-2014,4.2
Pablo Armero,Udinese Calcio,Serie A,SSC Napoli,2013-2014,4.0
Kike Sola,CA Osasuna,LaLiga,Athletic Bilbao,2013-2014,4.0
Joel Robles,Atlético Madrid,LaLiga,Everton,2013-2014,4.0
Nicolás López,AS Roma,Serie A,Udinese Calcio,2013-2014,4.0
Rodney Strasser,AC Milan,Serie A,Genoa,2013-2014,4.0
Luis Suárez,Liverpool,Premier League,FC Barcelona,2014-2015,81.72
Ángel Di María,Real Madrid,LaLiga,Man Utd,2014-2015,75.0
David Luiz,Chelsea,Premier League,Paris SG,2014-2015,49.5
Alexis Sánchez,FC Barcelona,LaLiga,Arsenal,2014-2015,42.5
Diego Costa,Atlético Madrid,LaLiga,Chelsea,2014-2015,38.0
Luke Shaw,Southampton,Premier League,Man Utd,2014-2015,37.5
Ander Herrera,Athletic Bilbao,LaLiga,Man Utd,2014-2015,36.0
Romelu Lukaku,Chelsea,Premier League,Everton,2014-2015,35.36
Cesc Fàbregas,FC Barcelona,LaLiga,Chelsea,2014-2015,33.0
Wilfried Bony,Swansea,Premier League,Man City,2014-2015,32.3
André Schürrle,Chelsea,Premier League,VfL Wolfsburg,2014-2015,32.0
Juan Cuadrado,Fiorentina,Serie A,Chelsea,2014-2015,31.0
Adam Lallana,Southampton,Premier League,Liverpool,2014-2015,31.0
Antoine Griezmann,Real Sociedad,LaLiga,Atlético Madrid,2014-2015,30.0
Medhi Benatia,AS Roma,Serie A,Bayern Munich ,2014-2015,28.0
Dejan Lovren,Southampton,Premier League,Liverpool,2014-2015,25.3
Juan Iturbe,Hellas Verona,Serie A,AS Roma,2014-2015,24.5
Sadio Mané,RB Salzburg,Bundesliga,Southampton,2014-2015,23.0
Calum Chambers,Southampton,Premier League,Arsenal,2014-2015,20.23
Mario Balotelli,AC Milan,Serie A,Liverpool,2014-2015,20.0
Danny Welbeck,Man Utd,Premier League,Arsenal,2014-2015,20.0
Filipe Luís,Atlético Madrid,LaLiga,Chelsea,2014-2015,20.0
Jérémy Mathieu,Valencia CF,LaLiga,FC Barcelona,2014-2015,20.0
Álvaro Morata,Real Madrid,LaLiga,Juventus,2014-2015,20.0
Thomas Vermaelen,Arsenal,Premier League,FC Barcelona,2014-2015,19.0
Ciro Immobile,Torino,Serie A,Bor. Dortmund,2014-2015,18.5
Ivan Rakitic,Sevilla FC,LaLiga,FC Barcelona,2014-2015,18.0
Alberto Moreno,Sevilla FC,LaLiga,Liverpool,2014-2015,18.0
Daley Blind,AFC Ajax,Eredivisie,Man Utd,2014-2015,17.5
Javi García,Man City,Premier League,Zenit S-Pb,2014-2015,16.8
Alessio Cerci,Torino,Serie A,Atlético Madrid,2014-2015,15.0
Radja Nainggolan,Cagliari Calcio,Serie A,AS Roma,2014-2015,15.0
Mathieu Debuchy,Newcastle,Premier League,Arsenal,2014-2015,15.0
Gabriel Paulista,Villarreal CF,LaLiga,Arsenal,2014-2015,15.0
Shane Long,Hull City,Premier League,Southampton,2014-2015,14.9
Dusan Tadic,FC Twente,Eredivisie,Southampton,2014-2015,14.0
Ryan Bertrand,Chelsea,Premier League,Southampton,2014-2015,13.34
Loïc Rémy,QPR,Premier League,Chelsea,2014-2015,13.2
Ben Davies,Swansea,Premier League,Spurs,2014-2015,12.65
Jack Rodwell,Man City,Premier League,Sunderland,2014-2015,12.6
Manolo Gabbiadini,Sampdoria,Serie A,SSC Napoli,2014-2015,12.5
Kevin Kampl,RB Salzburg,Bundesliga,Bor. Dortmund,2014-2015,12.0
Abel Hernández,US Palermo,Serie A,Hull City,2014-2015,12.0
Claudio Bravo,Real Sociedad,LaLiga,FC Barcelona,2014-2015,12.0
Quincy Promes,FC Twente,Eredivisie,Spartak Moscow,2014-2015,11.5
Alan,RB Salzburg,Bundesliga,GZ Evergrande,2014-2015,11.1
Adrián López,Atlético Madrid,LaLiga,FC Porto,2014-2015,11.0
Graziano Pellè,Feyenoord,Eredivisie,Southampton,2014-2015,11.0
Gylfi Sigurdsson,Spurs,Premier League,Swansea,2014-2015,10.1
Keylor Navas,Levante UD,LaLiga,Real Madrid,2014-2015,10.0
Guilherme Siqueira,Granada CF,LaLiga,Atlético Madrid,2014-2015,10.0
Federico Fazio,Sevilla FC,LaLiga,Spurs,2014-2015,10.0
Federico Fernández,SSC Napoli,Serie A,Swansea,2014-2015,10.0
Juan Bernat,Valencia CF,LaLiga,Bayern Munich ,2014-2015,10.0
Stefano Sturaro,Genoa,Serie A,Juventus,2014-2015,9.6
Xabi Alonso,Real Madrid,LaLiga,Bayern Munich ,2014-2015,9.0
Siem de Jong,AFC Ajax,Eredivisie,Newcastle,2014-2015,8.7
Ciro Immobile,Juventus,Serie A,Torino,2014-2015,8.0
Shinji Kagawa,Man Utd,Premier League,Bor. Dortmund,2014-2015,8.0
Alfred Finnbogason,Heerenveen,Eredivisie,Real Sociedad,2014-2015,8.0
Shkodran Mustafi,Sampdoria,Serie A,Valencia CF,2014-2015,8.0
Willy Caballero,Málaga CF,LaLiga,Man City,2014-2015,8.0
Charles Aránguiz,Udinese Calcio,Serie A,Internacional,2014-2015,8.0
Odion Ighalo,Udinese Calcio,Serie A,Watford,2014-2015,8.0
Bruno Martins Indi,Feyenoord,Eredivisie,FC Porto,2014-2015,7.7
Sandro,Spurs,Premier League,QPR,2014-2015,7.5
Mapou Yanga-Mbiwa,Newcastle,Premier League,AS Roma,2014-2015,7.35
Nuri Sahin,Real Madrid,LaLiga,Bor. Dortmund,2014-2015,7.0
Giacomo Bonaventura,Atalanta,Serie A,AC Milan,2014-2015,7.0
Tin Jedvaj,AS Roma,Serie A,Bay. Leverkusen,2014-2015,7.0
Stefan de Vrij,Feyenoord,Eredivisie,Lazio,2014-2015,7.0
Omer Damari,Austria Vienna,Bundesliga,RB Leipzig,2014-2015,7.0
Jake Livermore,Spurs,Premier League,Hull City,2014-2015,7.0
Daley Sinkgraven,Heerenveen,Eredivisie,AFC Ajax,2014-2015,7.0
Britt Assombalonga,Peterborough,League One,Nottm Forest,2014-2015,6.9
Dele Alli,MK Dons,League One,Spurs,2014-2015,6.63
Kyle Naughton,Spurs,Premier League,Swansea,2014-2015,6.6
Marko Livaja,Atalanta,Serie A,Rubin Kazan,2014-2015,6.5
Yacine Brahimi,Granada CF,LaLiga,FC Porto,2014-2015,6.5
Jordon Mutch,QPR,Premier League,Crystal Palace,2014-2015,6.34
Mirko Vucinic,Juventus,Serie A,Al-Jazira,2014-2015,6.3
Antonio Sanabria,Sassuolo,Serie A,AS Roma,2014-2015,6.2
Valon Behrami,SSC Napoli,Serie A,Hamburger SV,2014-2015,6.0
Demba Ba,Chelsea,Premier League,Besiktas,2014-2015,6.0
Jonathan de Guzmán,Villarreal CF,LaLiga,SSC Napoli,2014-2015,6.0
Roberto,Atlético Madrid,LaLiga,Olympiacos,2014-2015,6.0
Oussama Assaidi,Liverpool,Premier League,Al-Ahli (UAE),2014-2015,6.0
Dorlan Pabón,Valencia CF,LaLiga,Monterrey,2014-2015,6.0
Daryl Janmaat,Feyenoord,Eredivisie,Newcastle,2014-2015,6.0
Carlos Sánchez,Elche CF,LaLiga,Aston Villa,2014-2015,6.0
Vitorino Antunes,Málaga CF,LaLiga,Dynamo Kyiv,2014-2015,6.0
Filip Kostic,FC Groningen,Eredivisie,VfB Stuttgart,2014-2015,6.0
Ishak Belfodil,Inter,Serie A,Parma,2014-2015,5.75
Eric Bailly,Espanyol,LaLiga,Villarreal CF,2014-2015,5.7
Michel Vorm,Swansea,Premier League,Spurs,2014-2015,5.69
Sime Vrsaljko,Genoa,Serie A,Sassuolo,2014-2015,5.5
Rickie Lambert,Southampton,Premier League,Liverpool,2014-2015,5.5
Alberto Gilardino,Genoa,Serie A,GZ Evergrande,2014-2015,5.5
Alexander Büttner,Man Utd,Premier League,Dinamo Moscow,2014-2015,5.5
David López,Espanyol,LaLiga,SSC Napoli,2014-2015,5.3
Bryan Cristante,AC Milan,Serie A,Benfica,2014-2015,5.2
Pablo Hernández,Swansea,Premier League,Al Arabi,2014-2015,5.0
Daniele Rugani,FC Empoli,Serie A,Juventus,2014-2015,5.0
Chico,Swansea,Premier League,Al Duhail,2014-2015,5.0
Sergio Asenjo,Atlético Madrid,LaLiga,Villarreal CF,2014-2015,5.0
Luca Marrone,Sassuolo,Serie A,Juventus,2014-2015,5.0
Sammir,Getafe CF,LaLiga,JS Suning,2014-2015,5.0
Marco Benassi,Inter,Serie A,Torino,2014-2015,4.8
Marco Parolo,Parma,Serie A,Lazio,2014-2015,4.5
Federico Peluso,Juventus,Serie A,Sassuolo,2014-2015,4.5
Kyle Lafferty,US Palermo,Serie A,Norwich,2014-2015,4.5
Federico Bonazzoli,Inter,Serie A,Sampdoria,2014-2015,4.5
Mohamed Diamé,West Ham,Premier League,Hull City,2014-2015,4.4
Michael Dawson,Spurs,Premier League,Hull City,2014-2015,4.4
Adil Rami,Valencia CF,LaLiga,AC Milan,2014-2015,4.25
Carles Gil,Valencia CF,LaLiga,Aston Villa,2014-2015,4.2
Dabao Yu,DL Yifang,League One,BJ Sinobo Guoan,2014-2015,4.2
Daniel Agger,Liverpool,Premier League,Bröndby IF,2014-2015,4.0
Esteban Granero,QPR,Premier League,Real Sociedad,2014-2015,4.0
Raheem Sterling,Liverpool,Premier League,Man City,2015-2016,63.7
Ángel Di María,Man Utd,Premier League,Paris SG,2015-2016,63.0
Christian Benteke,Aston Villa,Premier League,Liverpool,2015-2016,46.5
Nicolás Otamendi,Valencia CF,LaLiga,Man City,2015-2016,44.6
Jackson Martínez,Atlético Madrid,LaLiga,GZ Evergrande,2015-2016,42.0
Paulo Dybala,US Palermo,Serie A,Juventus,2015-2016,40.0
Arturo Vidal,Juventus,Serie A,Bayern Munich ,2015-2016,37.5
Morgan Schneiderlin,Southampton,Premier League,Man Utd,2015-2016,35.0
Arda Turan,Atlético Madrid,LaLiga,FC Barcelona,2015-2016,34.0
Memphis Depay,PSV Eindhoven,Eredivisie,Man Utd,2015-2016,34.0
Mateo Kovacic,Inter,Serie A,Real Madrid,2015-2016,31.0
Carlos Bacca,Sevilla FC,LaLiga,AC Milan,2015-2016,30.0
Ramires,Chelsea,Premier League,JS Suning,2015-2016,28.0
Álvaro Negredo,Man City,Premier League,Valencia CF,2015-2016,28.0
Pedro,FC Barcelona,LaLiga,Chelsea,2015-2016,27.0
Stefan Savic,Fiorentina,Serie A,Atlético Madrid,2015-2016,25.0
Alessio Romagnoli,AS Roma,Serie A,AC Milan,2015-2016,25.0
Raúl Jiménez,Atlético Madrid,LaLiga,Benfica,2015-2016,22.0
Mario Mandzukic,Atlético Madrid,LaLiga,Juventus,2015-2016,21.0
Luciano Vietto,Villarreal CF,LaLiga,Atlético Madrid,2015-2016,20.0
Andrea Bertolacci,AS Roma,Serie A,AC Milan,2015-2016,20.0
Georginio Wijnaldum,PSV Eindhoven,Eredivisie,Newcastle,2015-2016,20.0
Gervinho,AS Roma,Serie A,HB CFFC,2015-2016,18.0
Matteo Darmian,Torino,Serie A,Man Utd,2015-2016,18.0
Simone Zaza,Sassuolo,Serie A,Juventus,2015-2016,18.0
Nathaniel Clyne,Southampton,Premier League,Liverpool,2015-2016,17.7
Xherdan Shaqiri,Inter,Serie A,Stoke City,2015-2016,17.0
Aleix Vidal,Sevilla FC,LaLiga,FC Barcelona,2015-2016,17.0
Filipe Luís,Chelsea,Premier League,Atlético Madrid,2015-2016,16.0
Toby Alderweireld,Atlético Madrid,LaLiga,Spurs,2015-2016,16.0
Jonjo Shelvey,Swansea,Premier League,Newcastle,2015-2016,16.0
Roberto Soldado,Spurs,Premier League,Villarreal CF,2015-2016,16.0
Andros Townsend,Spurs,Premier League,Newcastle,2015-2016,15.7
Roberto Pereyra,Udinese Calcio,Serie A,Juventus,2015-2016,15.0
Asier Illarramendi,Real Madrid,LaLiga,Real Sociedad,2015-2016,15.0
Mario Suárez,Atlético Madrid,LaLiga,Fiorentina,2015-2016,15.0
Jordy Clasie,Feyenoord,Eredivisie,Southampton,2015-2016,15.0
Petr Cech,Chelsea,Premier League,Arsenal,2015-2016,14.0
Paulinho,Spurs,Premier League,GZ Evergrande,2015-2016,14.0
Sergi Darder,Málaga CF,LaLiga,Olympique Lyon,2015-2016,13.1
Hernanes,Inter,Serie A,Juventus,2015-2016,13.0
Fredy Guarín,Inter,Serie A,SH Shenhua,2015-2016,13.0
Luis Muriel,Udinese Calcio,Serie A,Sampdoria,2015-2016,12.0
Chicharito,Man Utd,Premier League,Bay. Leverkusen,2015-2016,12.0
Rony Lopes,Man City,Premier League,Monaco,2015-2016,12.0
Allan,Udinese Calcio,Serie A,SSC Napoli,2015-2016,11.5
Fabian Delph,Aston Villa,Premier League,Man City,2015-2016,11.5
Asmir Begovic,Stoke City,Premier League,Chelsea,2015-2016,11.0
Angelo Ogbonna,Juventus,Serie A,West Ham,2015-2016,11.0
Steven Naismith,Everton,Premier League,Norwich,2015-2016,11.0
Fabio Borini,Liverpool,Premier League,Sunderland,2015-2016,10.7
Adalberto Peñaranda,Udinese Calcio,Serie A,Watford,2015-2016,10.6
Ricardo Álvarez,Inter,Serie A,Sunderland,2015-2016,10.5
Jesús Corona,FC Twente,Eredivisie,FC Porto,2015-2016,10.5
Dusan Basta,Udinese Calcio,Serie A,Lazio,2015-2016,10.5
Domenico Berardi,Juventus,Serie A,Sassuolo,2015-2016,10.0
Connor Wickham,Sunderland,Premier League,Crystal Palace,2015-2016,10.0
Santi Mina,Celta de Vigo,LaLiga,Valencia CF,2015-2016,10.0
Matija Nastasic,Man City,Premier League,FC Schalke 04,2015-2016,9.5
Alberto Paloschi,Chievo Verona,Serie A,Swansea,2015-2016,9.5
Mapou Yanga-Mbiwa,AS Roma,Serie A,Olympique Lyon,2015-2016,9.4
Lewis Grabban,Norwich,Premier League,Bournemouth,2015-2016,9.35
Étienne Capoue,Spurs,Premier League,Watford,2015-2016,8.9
Benjamin Stambouli,Spurs,Premier League,Paris SG,2015-2016,8.6
